192.168.13.104,timesheet.allette.com.au
192.168.7.15,elk.iv.allette.com.au
192.168.200.245,xen6-ilo.allette.com.au
192.168.200.219,ilocn71440fjt.allette.com.au
192.168.200.230,ilosgh242ebnm.allette.com.au
192.168.12.25,db.sy4.allette.com.au
192.168.12.11,db1.sy4.allette.com.au
192.168.13.6,jenkins.allette.com.au
192.168.13.105,k8s-production-sy4-controlplane-1.allette.com.au
192.168.13.106,k8s-production-sy4-controlplane-2.allette.com.au
192.168.13.107,k8s-production-sy4-etcd-1.allette.com.au
192.168.13.108,k8s-production-sy4-etcd-2.allette.com.au
192.168.13.109,k8s-production-sy4-etcd-3.allette.com.au
192.168.13.110,k8s-production-sy4-worker-1.allette.com.au
192.168.13.111,k8s-production-sy4-worker-2.allette.com.au
192.168.13.112,k8s-production-sy4-worker-3.allette.com.au
192.168.8.191,k8s-rancher-n1.allette.com.au
192.168.8.192,k8s-rancher-n2.allette.com.au
192.168.8.193,k8s-rancher-n3.allette.com.au
192.168.13.99,k8s-rancher-sy4-controller.allette.com.au
192.168.13.101,k8s-rancher-sy4-n1.allette.com.au
192.168.13.102,k8s-rancher-sy4-n2.allette.com.au
192.168.13.103,k8s-rancher-sy4-n3.allette.com.au
192.168.200.239,ps-test.pageseeder.com
192.168.200.31,natspec-dev.allette.com.au
192.168.21.11,mail.allette.com.au
192.168.3.149,mediclaim.allette.com.au
192.168.13.9,millie.allette.com.au
192.168.200.233,mysql8.allette.com.au
192.168.3.162,author.natspec.allette.com.au
192.168.3.163,pageseeder.natspec.allette.com.au
192.168.200.162,netbox.allette.com.au
192.168.200.18,sonar.allette.com.au
192.168.200.152,sftp.oxford.allette.com.au
192.168.200.25,paper.wipdoc.allette.com.au
192.168.7.107,ps-benchmark.allette.com.au
192.168.200.240,ps-build.allette.com.au
192.168.200.45,pyr-storage-01.allette.com.au
192.168.200.46,pyr-storage-02.allette.com.au
192.168.7.113,rancher-controller-sy4.allette.com.au
192.168.8.199,rancher2-controller.allette.com.au
192.168.8.131,rancher2-sandbox-controlplane-1.allette.com.au
192.168.8.132,rancher2-sandbox-controlplane-2.allette.com.au
192.168.8.121,rancher2-sandbox-etcd-1.allette.com.au
192.168.8.122,rancher2-sandbox-etcd-2.allette.com.au
192.168.8.123,rancher2-sandbox-etcd-3.allette.com.au
192.168.8.111,rancher2-sandbox-worker-1.allette.com.au
192.168.8.112,rancher2-sandbox-worker-2.allette.com.au
192.168.8.113,rancher2-sandbox-worker-3.allette.com.au
192.168.3.153,staging.rphcm.allette.com.au
192.168.21.10,spacewalk.allette.com.au
192.168.7.106,controlplane-1.staging.k8s.sy4.allette.com.au
192.168.7.117,controlplane-2.staging.k8s.sy4.allette.com.au
192.168.7.109,worker-1.staging.k8s.sy4.allette.com.au
192.168.7.116,worker-2.staging.k8s.sy4.allette.com.au
192.168.7.118,worker-3.staging.k8s.sy4.allette.com.au
192.168.6.1,gateway.mgt.sy4.allette.com.au
192.168.6.2,gateway1.mgt.sy4.allette.com.au
192.168.6.3,gateway2.mgt.sy4.allette.com.au
192.168.7.8,xcp1.sy4.allette.com.au
192.168.7.9,xcp2.sy4.allette.com.au
192.168.7.10,xcp3.sy4.allette.com.au
192.168.7.11,xcp4.sy4.allette.com.au
192.168.7.6,xosy4.allette.com.au
192.168.6.50,sy4-storage-01.allette.com.au
192.168.14.200,sy4-storage-02.allette.com.au
192.168.14.3,sy4-storage-03.allette.com.au
192.168.20.199,xo.allette.com.au
